Time (sec),Usl(m/s),Usg(m/s),Vf,bins,Freq.,PDF,Hl
0,0.05,0.047,0.1054,0.01,0,0,0.8946
0.005,0.05,0.047,0.1031,0.02,0,0,0.8969
0.01,0.05,0.047,0.1047,0.03,0,0,0.8953
0.015,0.05,0.047,0.1028,0.04,0,0,0.8972
0.02,0.05,0.047,0.1036,0.05,0,0,0.8964
0.025,0.05,0.047,0.1019,0.06,0,0,0.8981
0.03,0.05,0.047,0.1024,0.07,19,0.001583333,0.8976
0.035,0.05,0.047,0.1012,0.08,413,0.034416667,0.8988
0.04,0.05,0.047,0.1025,0.09,1549,0.129083333,0.8975
0.045,0.05,0.047,0.1009,0.1,2357,0.196416667,0.8991
0.05,0.05,0.047,0.1023,0.11,2338,0.194833333,0.8977
0.055,0.05,0.047,0.101,0.12,1388,0.115666667,0.899
0.06,0.05,0.047,0.1036,0.13,622,0.051833333,0.8964
0.065,0.05,0.047,0.1045,0.14,299,0.024916667,0.8955
0.07,0.05,0.047,0.1095,0.15,201,0.01675,0.8905
0.075,0.05,0.047,0.1144,0.16,171,0.01425,0.8856
0.08,0.05,0.047,0.125,0.17,125,0.010416667,0.875
0.085,0.05,0.047,0.1348,0.18,125,0.010416667,0.8652
0.09,0.05,0.047,0.1494,0.19,92,0.007666667,0.8506
0.095,0.05,0.047,0.1651,0.2,93,0.00775,0.8349
0.1,0.05,0.047,0.1877,0.21,89,0.007416667,0.8123
0.105,0.05,0.047,0.2079,0.22,87,0.00725,0.7921
0.11,0.05,0.047,0.2342,0.23,69,0.00575,0.7658
0.115,0.05,0.047,0.2607,0.24,98,0.008166667,0.7393
0.12,0.05,0.047,0.2931,0.25,79,0.006583333,0.7069
0.125,0.05,0.047,0.3187,0.26,56,0.004666667,0.6813
0.13,0.05,0.047,0.3471,0.27,80,0.006666667,0.6529
0.135,0.05,0.047,0.3719,0.28,63,0.00525,0.6281
0.14,0.05,0.047,0.3979,0.29,80,0.006666667,0.6021
0.145,0.05,0.047,0.4173,0.3,73,0.006083333,0.5827
0.15,0.05,0.047,0.4382,0.31,73,0.006083333,0.5618
0.155,0.05,0.047,0.4517,0.32,56,0.004666667,0.5483
0.16,0.05,0.047,0.4675,0.33,69,0.00575,0.5325
0.165,0.05,0.047,0.4752,0.34,63,0.00525,0.5248
0.17,0.05,0.047,0.4833,0.35,62,0.005166667,0.5167
0.175,0.05,0.047,0.4864,0.36,68,0.005666667,0.5136
0.18,0.05,0.047,0.4898,0.37,75,0.00625,0.5102
0.185,0.05,0.047,0.4855,0.38,60,0.005,0.5145
0.19,0.05,0.047,0.4788,0.39,73,0.006083333,0.5212
0.195,0.05,0.047,0.465,0.4,75,0.00625,0.535
0.2,0.05,0.047,0.4483,0.41,68,0.005666667,0.5517
0.205,0.05,0.047,0.426,0.42,82,0.006833333,0.574
0.21,0.05,0.047,0.4056,0.43,76,0.006333333,0.5944
0.215,0.05,0.047,0.3818,0.44,64,0.005333333,0.6182
0.22,0.05,0.047,0.3613,0.45,74,0.006166667,0.6387
0.225,0.05,0.047,0.3352,0.46,62,0.005166667,0.6648
0.23,0.05,0.047,0.3094,0.47,67,0.005583333,0.6906
0.235,0.05,0.047,0.2806,0.48,55,0.004583333,0.7194
0.24,0.05,0.047,0.2499,0.49,52,0.004333333,0.7501
0.245,0.05,0.047,0.2223,0.5,48,0.004,0.7777
0.25,0.05,0.047,0.1994,0.51,44,0.003666667,0.8006
0.255,0.05,0.047,0.1784,0.52,27,0.00225,0.8216
0.26,0.05,0.047,0.1618,0.53,19,0.001583333,0.8382
0.265,0.05,0.047,0.1445,0.54,7,0.000583333,0.8555
0.27,0.05,0.047,0.1332,0.55,12,0.001,0.8668
0.275,0.05,0.047,0.1217,0.56,3,0.00025,0.8783
0.28,0.05,0.047,0.117,0.57,0,0,0.883
0.285,0.05,0.047,0.1133,0.58,0,0,0.8867
0.29,0.05,0.047,0.1114,0.59,0,0,0.8886
0.295,0.05,0.047,0.1075,0.6,0,0,0.8925
0.3,0.05,0.047,0.1045,0.61,0,0,0.8955
0.305,0.05,0.047,0.0991,0.62,0,0,0.9009
0.31,0.05,0.047,0.0973,0.63,0,0,0.9027
0.315,0.05,0.047,0.0936,0.64,0,0,0.9064
0.32,0.05,0.047,0.0932,0.65,0,0,0.9068
0.325,0.05,0.047,0.0894,0.66,0,0,0.9106
0.33,0.05,0.047,0.0883,0.67,0,0,0.9117
0.335,0.05,0.047,0.0856,0.68,0,0,0.9144
0.34,0.05,0.047,0.0858,0.69,0,0,0.9142
0.345,0.05,0.047,0.0828,0.7,0,0,0.9172
0.35,0.05,0.047,0.0845,0.71,0,0,0.9155
0.355,0.05,0.047,0.0835,0.72,0,0,0.9165
0.36,0.05,0.047,0.0858,0.73,0,0,0.9142
0.365,0.05,0.047,0.0852,0.74,0,0,0.9148
0.37,0.05,0.047,0.0881,0.75,0,0,0.9119
0.375,0.05,0.047,0.0866,0.76,0,0,0.9134
0.38,0.05,0.047,0.0882,0.77,0,0,0.9118
0.385,0.05,0.047,0.0863,0.78,0,0,0.9137
0.39,0.05,0.047,0.0889,0.79,0,0,0.9111
0.395,0.05,0.047,0.0868,0.8,0,0,0.9132
0.4,0.05,0.047,0.0879,0.81,0,0,0.9121
0.405,0.05,0.047,0.0848,0.82,0,0,0.9152
0.41,0.05,0.047,0.0849,0.83,0,0,0.9151
0.415,0.05,0.047,0.0835,0.84,0,0,0.9165
0.42,0.05,0.047,0.0837,0.85,0,0,0.9163
0.425,0.05,0.047,0.0822,0.86,0,0,0.9178
0.43,0.05,0.047,0.0831,0.87,0,0,0.9169
0.435,0.05,0.047,0.0826,0.88,0,0,0.9174
0.44,0.05,0.047,0.084,0.89,0,0,0.916
0.445,0.05,0.047,0.0835,0.9,0,0,0.9165
0.45,0.05,0.047,0.0875,0.91,0,0,0.9125
0.455,0.05,0.047,0.0886,0.92,0,0,0.9114
0.46,0.05,0.047,0.0932,0.93,0,0,0.9068
0.465,0.05,0.047,0.0956,0.94,0,0,0.9044
0.47,0.05,0.047,0.0998,0.95,0,0,0.9002
0.475,0.05,0.047,0.1014,0.96,0,0,0.8986
0.48,0.05,0.047,0.1045,0.97,0,0,0.8955
0.485,0.05,0.047,0.1044,0.98,0,0,0.8956
0.49,0.05,0.047,0.1048,0.99,0,0,0.8952
0.495,0.05,0.047,0.1031,1,0,0,0.8969
0.5,0.05,0.047,0.1024,0,0,0,0.8976
0.505,0.05,0.047,0.0993,0,0,0,0.9007
0.51,0.05,0.047,0.0992,0,0,0,0.9008
0.515,0.05,0.047,0.0969,0,0,0,0.9031
0.52,0.05,0.047,0.0971,0,0,0,0.9029
0.525,0.05,0.047,0.0963,0,0,0,0.9037
0.53,0.05,0.047,0.0975,0,0,0,0.9025
0.535,0.05,0.047,0.0966,0,0,0,0.9034
0.54,0.05,0.047,0.0992,0,0,0,0.9008
0.545,0.05,0.047,0.098,0,0,0,0.902
0.55,0.05,0.047,0.1008,0,0,0,0.8992
0.555,0.05,0.047,0.102,0,0,0,0.898
0.56,0.05,0.047,0.1034,0,0,0,0.8966
0.565,0.05,0.047,0.1023,0,0,0,0.8977
0.57,0.05,0.047,0.1046,0,0,0,0.8954
0.575,0.05,0.047,0.103,0,0,0,0.897
0.58,0.05,0.047,0.1037,0,0,0,0.8963
0.585,0.05,0.047,0.102,0,0,0,0.898
0.59,0.05,0.047,0.1022,0,0,0,0.8978
0.595,0.05,0.047,0.0994,0,0,0,0.9006
0.6,0.05,0.047,0.0997,0,0,0,0.9003
0.605,0.05,0.047,0.0963,0,0,0,0.9037
0.61,0.05,0.047,0.0967,0,0,0,0.9033
0.615,0.05,0.047,0.0948,0,0,0,0.9052
0.62,0.05,0.047,0.0947,0,0,0,0.9053
0.625,0.05,0.047,0.0926,0,0,0,0.9074
0.63,0.05,0.047,0.0929,0,0,0,0.9071
0.635,0.05,0.047,0.0902,0,0,0,0.9098
0.64,0.05,0.047,0.0903,0,0,0,0.9097
0.645,0.05,0.047,0.0887,0,0,0,0.9113
0.65,0.05,0.047,0.0893,0,0,0,0.9107
0.655,0.05,0.047,0.0877,0,0,0,0.9123
0.66,0.05,0.047,0.0891,0,0,0,0.9109
0.665,0.05,0.047,0.0884,0,0,0,0.9116
0.67,0.05,0.047,0.0894,0,0,0,0.9106
0.675,0.05,0.047,0.0886,0,0,0,0.9114
0.68,0.05,0.047,0.0897,0,0,0,0.9103
0.685,0.05,0.047,0.089,0,0,0,0.911
0.69,0.05,0.047,0.09,0,0,0,0.91
0.695,0.05,0.047,0.0895,0,0,0,0.9105
0.7,0.05,0.047,0.0905,0,0,0,0.9095
0.705,0.05,0.047,0.0897,0,0,0,0.9103
0.71,0.05,0.047,0.0903,0,0,0,0.9097
0.715,0.05,0.047,0.0898,0,0,0,0.9102
0.72,0.05,0.047,0.0905,0,0,0,0.9095
0.725,0.05,0.047,0.0898,0,0,0,0.9102
0.73,0.05,0.047,0.0916,0,0,0,0.9084
0.735,0.05,0.047,0.0913,0,0,0,0.9087
0.74,0.05,0.047,0.0922,0,0,0,0.9078
0.745,0.05,0.047,0.0919,0,0,0,0.9081
0.75,0.05,0.047,0.0933,0,0,0,0.9067
0.755,0.05,0.047,0.0926,0,0,0,0.9074
0.76,0.05,0.047,0.0927,0,0,0,0.9073
0.765,0.05,0.047,0.0924,0,0,0,0.9076
0.77,0.05,0.047,0.093,0,0,0,0.907
0.775,0.05,0.047,0.0925,0,0,0,0.9075
0.78,0.05,0.047,0.0937,0,0,0,0.9063
0.785,0.05,0.047,0.0932,0,0,0,0.9068
0.79,0.05,0.047,0.0941,0,0,0,0.9059
0.795,0.05,0.047,0.0931,0,0,0,0.9069
0.8,0.05,0.047,0.0946,0,0,0,0.9054
0.805,0.05,0.047,0.0939,0,0,0,0.9061
0.81,0.05,0.047,0.0955,0,0,0,0.9045
0.815,0.05,0.047,0.094,0,0,0,0.906
0.82,0.05,0.047,0.0951,0,0,0,0.9049
0.825,0.05,0.047,0.0945,0,0,0,0.9055
0.83,0.05,0.047,0.0953,0,0,0,0.9047
0.835,0.05,0.047,0.0945,0,0,0,0.9055
0.84,0.05,0.047,0.0951,0,0,0,0.9049
0.845,0.05,0.047,0.0936,0,0,0,0.9064
0.85,0.05,0.047,0.0949,0,0,0,0.9051
0.855,0.05,0.047,0.0951,0,0,0,0.9049
0.86,0.05,0.047,0.0974,0,0,0,0.9026
0.865,0.05,0.047,0.0955,0,0,0,0.9045
0.87,0.05,0.047,0.0964,0,0,0,0.9036
0.875,0.05,0.047,0.096,0,0,0,0.904
0.88,0.05,0.047,0.0977,0,0,0,0.9023
0.885,0.05,0.047,0.0976,0,0,0,0.9024
0.89,0.05,0.047,0.0991,0,0,0,0.9009
0.895,0.05,0.047,0.0986,0,0,0,0.9014
0.9,0.05,0.047,0.0996,0,0,0,0.9004
0.905,0.05,0.047,0.1003,0,0,0,0.8997
0.91,0.05,0.047,0.1008,0,0,0,0.8992
0.915,0.05,0.047,0.101,0,0,0,0.899
0.92,0.05,0.047,0.1017,0,0,0,0.8983
0.925,0.05,0.047,0.1004,0,0,0,0.8996
0.93,0.05,0.047,0.1011,0,0,0,0.8989
0.935,0.05,0.047,0.1006,0,0,0,0.8994
0.94,0.05,0.047,0.1013,0,0,0,0.8987
0.945,0.05,0.047,0.1006,0,0,0,0.8994
0.95,0.05,0.047,0.1007,0,0,0,0.8993
0.955,0.05,0.047,0.1001,0,0,0,0.8999
0.96,0.05,0.047,0.1004,0,0,0,0.8996
0.965,0.05,0.047,0.0994,0,0,0,0.9006
0.97,0.05,0.047,0.1004,0,0,0,0.8996
0.975,0.05,0.047,0.0999,0,0,0,0.9001
0.98,0.05,0.047,0.1007,0,0,0,0.8993
0.985,0.05,0.047,0.1006,0,0,0,0.8994
0.99,0.05,0.047,0.1015,0,0,0,0.8985
0.995,0.05,0.047,0.1011,0,0,0,0.8989
1,0.05,0.047,0.1012,0,0,0,0.8988
1.005,0.05,0.047,0.1017,0,0,0,0.8983
1.01,0.05,0.047,0.1026,0,0,0,0.8974
1.015,0.05,0.047,0.1031,0,0,0,0.8969
1.02,0.05,0.047,0.1046,0,0,0,0.8954
1.025,0.05,0.047,0.106,0,0,0,0.894
1.03,0.05,0.047,0.107,0,0,0,0.893
1.035,0.05,0.047,0.1101,0,0,0,0.8899
1.04,0.05,0.047,0.1137,0,0,0,0.8863
1.045,0.05,0.047,0.117,0,0,0,0.883
1.05,0.05,0.047,0.1238,0,0,0,0.8762
1.055,0.05,0.047,0.1324,0,0,0,0.8676
1.06,0.05,0.047,0.144,0,0,0,0.856
1.065,0.05,0.047,0.1574,0,0,0,0.8426
1.07,0.05,0.047,0.1731,0,0,0,0.8269
1.075,0.05,0.047,0.1916,0,0,0,0.8084
1.08,0.05,0.047,0.2143,0,0,0,0.7857
1.085,0.05,0.047,0.2341,0,0,0,0.7659
1.09,0.05,0.047,0.2556,0,0,0,0.7444
1.095,0.05,0.047,0.2778,0,0,0,0.7222
1.1,0.05,0.047,0.3017,0,0,0,0.6983
1.105,0.05,0.047,0.3264,0,0,0,0.6736
1.11,0.05,0.047,0.3513,0,0,0,0.6487
1.115,0.05,0.047,0.3751,0,0,0,0.6249
1.12,0.05,0.047,0.4029,0,0,0,0.5971
1.125,0.05,0.047,0.4259,0,0,0,0.5741
1.13,0.05,0.047,0.4484,0,0,0,0.5516
1.135,0.05,0.047,0.4694,0,0,0,0.5306
1.14,0.05,0.047,0.4887,0,0,0,0.5113
1.145,0.05,0.047,0.5048,0,0,0,0.4952
1.15,0.05,0.047,0.5159,0,0,0,0.4841
1.155,0.05,0.047,0.5229,0,0,0,0.4771
1.16,0.05,0.047,0.5257,0,0,0,0.4743
1.165,0.05,0.047,0.5208,0,0,0,0.4792
1.17,0.05,0.047,0.5128,0,0,0,0.4872
1.175,0.05,0.047,0.501,0,0,0,0.499
1.18,0.05,0.047,0.4854,0,0,0,0.5146
1.185,0.05,0.047,0.4688,0,0,0,0.5312
1.19,0.05,0.047,0.4492,0,0,0,0.5508
1.195,0.05,0.047,0.4308,0,0,0,0.5692
1.2,0.05,0.047,0.4095,0,0,0,0.5905
1.205,0.05,0.047,0.3912,0,0,0,0.6088
1.21,0.05,0.047,0.374,0,0,0,0.626
1.215,0.05,0.047,0.3575,0,0,0,0.6425
1.22,0.05,0.047,0.3386,0,0,0,0.6614
1.225,0.05,0.047,0.3209,0,0,0,0.6791
1.23,0.05,0.047,0.3024,0,0,0,0.6976
1.235,0.05,0.047,0.2852,0,0,0,0.7148
1.24,0.05,0.047,0.2647,0,0,0,0.7353
1.245,0.05,0.047,0.2469,0,0,0,0.7531
1.25,0.05,0.047,0.2301,0,0,0,0.7699
1.255,0.05,0.047,0.2142,0,0,0,0.7858
1.26,0.05,0.047,0.1964,0,0,0,0.8036
1.265,0.05,0.047,0.1773,0,0,0,0.8227
1.27,0.05,0.047,0.1546,0,0,0,0.8454
1.275,0.05,0.047,0.133,0,0,0,0.867
1.28,0.05,0.047,0.109,0,0,0,0.891
1.285,0.05,0.047,0.096,0,0,0,0.904
1.29,0.05,0.047,0.0917,0,0,0,0.9083
1.295,0.05,0.047,0.0901,0,0,0,0.9099
1.3,0.05,0.047,0.0879,0,0,0,0.9121
1.305,0.05,0.047,0.0874,0,0,0,0.9126
1.31,0.05,0.047,0.0858,0,0,0,0.9142
1.315,0.05,0.047,0.085,0,0,0,0.915
1.32,0.05,0.047,0.0829,0,0,0,0.9171
1.325,0.05,0.047,0.0834,0,0,0,0.9166
1.33,0.05,0.047,0.0824,0,0,0,0.9176
1.335,0.05,0.047,0.0831,0,0,0,0.9169
1.34,0.05,0.047,0.0829,0,0,0,0.9171
1.345,0.05,0.047,0.0841,0,0,0,0.9159
1.35,0.05,0.047,0.0842,0,0,0,0.9158
1.355,0.05,0.047,0.0851,0,0,0,0.9149
1.36,0.05,0.047,0.085,0,0,0,0.915
1.365,0.05,0.047,0.0858,0,0,0,0.9142
1.37,0.05,0.047,0.0865,0,0,0,0.9135
1.375,0.05,0.047,0.088,0,0,0,0.912
1.38,0.05,0.047,0.0878,0,0,0,0.9122
1.385,0.05,0.047,0.0904,0,0,0,0.9096
1.39,0.05,0.047,0.0914,0,0,0,0.9086
1.395,0.05,0.047,0.0948,0,0,0,0.9052
1.4,0.05,0.047,0.096,0,0,0,0.904
1.405,0.05,0.047,0.0977,0,0,0,0.9023
1.41,0.05,0.047,0.0981,0,0,0,0.9019
1.415,0.05,0.047,0.0999,0,0,0,0.9001
1.42,0.05,0.047,0.0994,0,0,0,0.9006
1.425,0.05,0.047,0.1011,0,0,0,0.8989
1.43,0.05,0.047,0.1017,0,0,0,0.8983
1.435,0.05,0.047,0.1035,0,0,0,0.8965
1.44,0.05,0.047,0.1029,0,0,0,0.8971
1.445,0.05,0.047,0.1046,0,0,0,0.8954
1.45,0.05,0.047,0.1039,0,0,0,0.8961
1.455,0.05,0.047,0.105,0,0,0,0.895
1.46,0.05,0.047,0.1053,0,0,0,0.8947
1.465,0.05,0.047,0.1066,0,0,0,0.8934
1.47,0.05,0.047,0.1057,0,0,0,0.8943
1.475,0.05,0.047,0.1076,0,0,0,0.8924
1.48,0.05,0.047,0.1065,0,0,0,0.8935
1.485,0.05,0.047,0.1066,0,0,0,0.8934
1.49,0.05,0.047,0.1057,0,0,0,0.8943
1.495,0.05,0.047,0.107,0,0,0,0.893
1.5,0.05,0.047,0.1049,0,0,0,0.8951
1.505,0.05,0.047,0.1067,0,0,0,0.8933
1.51,0.05,0.047,0.1057,0,0,0,0.8943
1.515,0.05,0.047,0.1074,0,0,0,0.8926
1.52,0.05,0.047,0.1074,0,0,0,0.8926
1.525,0.05,0.047,0.1083,0,0,0,0.8917
1.53,0.05,0.047,0.1068,0,0,0,0.8932
1.535,0.05,0.047,0.1079,0,0,0,0.8921
1.54,0.05,0.047,0.1077,0,0,0,0.8923
1.545,0.05,0.047,0.1091,0,0,0,0.8909
1.55,0.05,0.047,0.1095,0,0,0,0.8905
1.555,0.05,0.047,0.1115,0,0,0,0.8885
1.56,0.05,0.047,0.1111,0,0,0,0.8889
1.565,0.05,0.047,0.1126,0,0,0,0.8874
1.57,0.05,0.047,0.1113,0,0,0,0.8887
1.575,0.05,0.047,0.1137,0,0,0,0.8863
1.58,0.05,0.047,0.1128,0,0,0,0.8872
1.585,0.05,0.047,0.1147,0,0,0,0.8853
1.59,0.05,0.047,0.1132,0,0,0,0.8868
1.595,0.05,0.047,0.1147,0,0,0,0.8853
1.6,0.05,0.047,0.1132,0,0,0,0.8868
1.605,0.05,0.047,0.1142,0,0,0,0.8858
1.61,0.05,0.047,0.1122,0,0,0,0.8878
1.615,0.05,0.047,0.1128,0,0,0,0.8872
1.62,0.05,0.047,0.1101,0,0,0,0.8899
1.625,0.05,0.047,0.1111,0,0,0,0.8889
1.63,0.05,0.047,0.1095,0,0,0,0.8905
1.635,0.05,0.047,0.1099,0,0,0,0.8901
1.64,0.05,0.047,0.1092,0,0,0,0.8908
1.645,0.05,0.047,0.1094,0,0,0,0.8906
1.65,0.05,0.047,0.1071,0,0,0,0.8929
1.655,0.05,0.047,0.1076,0,0,0,0.8924
1.66,0.05,0.047,0.1058,0,0,0,0.8942
1.665,0.05,0.047,0.1056,0,0,0,0.8944
1.67,0.05,0.047,0.1041,0,0,0,0.8959
1.675,0.05,0.047,0.1056,0,0,0,0.8944
1.68,0.05,0.047,0.1038,0,0,0,0.8962
1.685,0.05,0.047,0.1041,0,0,0,0.8959
1.69,0.05,0.047,0.1026,0,0,0,0.8974
1.695,0.05,0.047,0.1041,0,0,0,0.8959
1.7,0.05,0.047,0.1013,0,0,0,0.8987
1.705,0.05,0.047,0.1029,0,0,0,0.8971
1.71,0.05,0.047,0.1,0,0,0,0.9
1.715,0.05,0.047,0.1014,0,0,0,0.8986
1.72,0.05,0.047,0.099,0,0,0,0.901
1.725,0.05,0.047,0.0996,0,0,0,0.9004
1.73,0.05,0.047,0.0975,0,0,0,0.9025
1.735,0.05,0.047,0.0984,0,0,0,0.9016
1.74,0.05,0.047,0.0969,0,0,0,0.9031
1.745,0.05,0.047,0.0971,0,0,0,0.9029
1.75,0.05,0.047,0.0959,0,0,0,0.9041
1.755,0.05,0.047,0.0956,0,0,0,0.9044
1.76,0.05,0.047,0.0938,0,0,0,0.9062
1.765,0.05,0.047,0.0948,0,0,0,0.9052
1.77,0.05,0.047,0.0936,0,0,0,0.9064
1.775,0.05,0.047,0.0942,0,0,0,0.9058
1.78,0.05,0.047,0.0929,0,0,0,0.9071
1.785,0.05,0.047,0.0937,0,0,0,0.9063
1.79,0.05,0.047,0.0912,0,0,0,0.9088
1.795,0.05,0.047,0.0926,0,0,0,0.9074
1.8,0.05,0.047,0.0908,0,0,0,0.9092
1.805,0.05,0.047,0.0903,0,0,0,0.9097
1.81,0.05,0.047,0.0894,0,0,0,0.9106
1.815,0.05,0.047,0.0901,0,0,0,0.9099
1.82,0.05,0.047,0.0881,0,0,0,0.9119
1.825,0.05,0.047,0.0898,0,0,0,0.9102
1.83,0.05,0.047,0.0872,0,0,0,0.9128
1.835,0.05,0.047,0.0885,0,0,0,0.9115
1.84,0.05,0.047,0.0878,0,0,0,0.9122
1.845,0.05,0.047,0.0893,0,0,0,0.9107
1.85,0.05,0.047,0.0878,0,0,0,0.9122
1.855,0.05,0.047,0.0903,0,0,0,0.9097
1.86,0.05,0.047,0.0896,0,0,0,0.9104
1.865,0.05,0.047,0.0915,0,0,0,0.9085
1.87,0.05,0.047,0.0918,0,0,0,0.9082
1.875,0.05,0.047,0.0944,0,0,0,0.9056
1.88,0.05,0.047,0.0945,0,0,0,0.9055
1.885,0.05,0.047,0.0981,0,0,0,0.9019
1.89,0.05,0.047,0.0985,0,0,0,0.9015
1.895,0.05,0.047,0.1019,0,0,0,0.8981
1.9,0.05,0.047,0.1027,0,0,0,0.8973
1.905,0.05,0.047,0.1061,0,0,0,0.8939
1.91,0.05,0.047,0.1085,0,0,0,0.8915
1.915,0.05,0.047,0.1143,0,0,0,0.8857
1.92,0.05,0.047,0.1199,0,0,0,0.8801
1.925,0.05,0.047,0.1303,0,0,0,0.8697
1.93,0.05,0.047,0.1397,0,0,0,0.8603
1.935,0.05,0.047,0.1543,0,0,0,0.8457
1.94,0.05,0.047,0.17,0,0,0,0.83
1.945,0.05,0.047,0.191,0,0,0,0.809
1.95,0.05,0.047,0.2107,0,0,0,0.7893
1.955,0.05,0.047,0.236,0,0,0,0.764
1.96,0.05,0.047,0.2618,0,0,0,0.7382
1.965,0.05,0.047,0.2871,0,0,0,0.7129
1.97,0.05,0.047,0.3091,0,0,0,0.6909
1.975,0.05,0.047,0.3326,0,0,0,0.6674
1.98,0.05,0.047,0.3519,0,0,0,0.6481
1.985,0.05,0.047,0.3722,0,0,0,0.6278
1.99,0.05,0.047,0.3876,0,0,0,0.6124
1.995,0.05,0.047,0.4035,0,0,0,0.5965
2,0.05,0.047,0.4163,0,0,0,0.5837
2.005,0.05,0.047,0.4284,0,0,0,0.5716
2.01,0.05,0.047,0.4373,0,0,0,0.5627
2.015,0.05,0.047,0.4472,0,0,0,0.5528
2.02,0.05,0.047,0.452,0,0,0,0.548
2.025,0.05,0.047,0.4579,0,0,0,0.5421
2.03,0.05,0.047,0.4588,0,0,0,0.5412
2.035,0.05,0.047,0.4596,0,0,0,0.5404
2.04,0.05,0.047,0.4491,0,0,0,0.5509
2.045,0.05,0.047,0.4301,0,0,0,0.5699
2.05,0.05,0.047,0.3991,0,0,0,0.6009
2.055,0.05,0.047,0.3676,0,0,0,0.6324
2.06,0.05,0.047,0.3337,0,0,0,0.6663
2.065,0.05,0.047,0.3051,0,0,0,0.6949
2.07,0.05,0.047,0.277,0,0,0,0.723
2.075,0.05,0.047,0.2557,0,0,0,0.7443
2.08,0.05,0.047,0.2338,0,0,0,0.7662
2.085,0.05,0.047,0.2177,0,0,0,0.7823
2.09,0.05,0.047,0.1998,0,0,0,0.8002
2.095,0.05,0.047,0.1861,0,0,0,0.8139
2.1,0.05,0.047,0.1703,0,0,0,0.8297
2.105,0.05,0.047,0.1599,0,0,0,0.8401
2.11,0.05,0.047,0.1481,0,0,0,0.8519
2.115,0.05,0.047,0.1356,0,0,0,0.8644
2.12,0.05,0.047,0.1191,0,0,0,0.8809
2.125,0.05,0.047,0.1115,0,0,0,0.8885
2.13,0.05,0.047,0.1049,0,0,0,0.8951
2.135,0.05,0.047,0.1026,0,0,0,0.8974
2.14,0.05,0.047,0.0993,0,0,0,0.9007
2.145,0.05,0.047,0.0988,0,0,0,0.9012
2.15,0.05,0.047,0.0978,0,0,0,0.9022
2.155,0.05,0.047,0.1007,0,0,0,0.8993
2.16,0.05,0.047,0.099,0,0,0,0.901
2.165,0.05,0.047,0.1009,0,0,0,0.8991
2.17,0.05,0.047,0.0969,0,0,0,0.9031
2.175,0.05,0.047,0.0966,0,0,0,0.9034
2.18,0.05,0.047,0.094,0,0,0,0.906
2.185,0.05,0.047,0.0957,0,0,0,0.9043
2.19,0.05,0.047,0.0944,0,0,0,0.9056
2.195,0.05,0.047,0.0959,0,0,0,0.9041
2.2,0.05,0.047,0.0938,0,0,0,0.9062
2.205,0.05,0.047,0.0942,0,0,0,0.9058
2.21,0.05,0.047,0.0928,0,0,0,0.9072
2.215,0.05,0.047,0.0945,0,0,0,0.9055
2.22,0.05,0.047,0.0935,0,0,0,0.9065
2.225,0.05,0.047,0.0951,0,0,0,0.9049
2.23,0.05,0.047,0.0945,0,0,0,0.9055
2.235,0.05,0.047,0.0958,0,0,0,0.9042
2.24,0.05,0.047,0.0956,0,0,0,0.9044
2.245,0.05,0.047,0.0978,0,0,0,0.9022
2.25,0.05,0.047,0.0964,0,0,0,0.9036
2.255,0.05,0.047,0.0979,0,0,0,0.9021
2.26,0.05,0.047,0.0956,0,0,0,0.9044
2.265,0.05,0.047,0.0954,0,0,0,0.9046
2.27,0.05,0.047,0.0928,0,0,0,0.9072
2.275,0.05,0.047,0.0945,0,0,0,0.9055
2.28,0.05,0.047,0.092,0,0,0,0.908
2.285,0.05,0.047,0.0928,0,0,0,0.9072
2.29,0.05,0.047,0.0909,0,0,0,0.9091
2.295,0.05,0.047,0.0917,0,0,0,0.9083
2.3,0.05,0.047,0.091,0,0,0,0.909
2.305,0.05,0.047,0.0936,0,0,0,0.9064
2.31,0.05,0.047,0.0939,0,0,0,0.9061
2.315,0.05,0.047,0.0957,0,0,0,0.9043
2.32,0.05,0.047,0.0948,0,0,0,0.9052
2.325,0.05,0.047,0.0965,0,0,0,0.9035
2.33,0.05,0.047,0.0946,0,0,0,0.9054
2.335,0.05,0.047,0.0949,0,0,0,0.9051
2.34,0.05,0.047,0.0933,0,0,0,0.9067
2.345,0.05,0.047,0.0931,0,0,0,0.9069
2.35,0.05,0.047,0.0909,0,0,0,0.9091
2.355,0.05,0.047,0.0911,0,0,0,0.9089
2.36,0.05,0.047,0.089,0,0,0,0.911
2.365,0.05,0.047,0.0893,0,0,0,0.9107
2.37,0.05,0.047,0.0867,0,0,0,0.9133
2.375,0.05,0.047,0.087,0,0,0,0.913
2.38,0.05,0.047,0.0855,0,0,0,0.9145
2.385,0.05,0.047,0.0863,0,0,0,0.9137
2.39,0.05,0.047,0.0828,0,0,0,0.9172
2.395,0.05,0.047,0.0825,0,0,0,0.9175
2.4,0.05,0.047,0.0815,0,0,0,0.9185
2.405,0.05,0.047,0.0821,0,0,0,0.9179
2.41,0.05,0.047,0.0805,0,0,0,0.9195
2.415,0.05,0.047,0.0811,0,0,0,0.9189
2.42,0.05,0.047,0.0799,0,0,0,0.9201
2.425,0.05,0.047,0.0802,0,0,0,0.9198
2.43,0.05,0.047,0.079,0,0,0,0.921
2.435,0.05,0.047,0.0789,0,0,0,0.9211
